2015-08-18 14:46:43,693 INFO  [main] Configuration.deprecation (Configuration.java:warnOnceIfDeprecated(1009)) - mapred.task.partition is deprecated. Instead, use mapreduce.task.partition
2015-08-18 14:46:43,713 INFO  [main] yarn.GiraphYarnTask (GiraphYarnTask.java:setStatus(172)) - [STATUS: task-0] setup: Beginning worker setup.
2015-08-18 14:46:43,718 INFO  [main] graph.GraphTaskManager (GraphTaskManager.java:initializeAndConfigureLogging(677)) - setup: Log level remains at info
2015-08-18 14:46:43,792 INFO  [main] yarn.GiraphYarnTask (GiraphYarnTask.java:setStatus(172)) - [STATUS: task-0] setup: Initializing Zookeeper services.
2015-08-18 14:46:43,794 INFO  [main] Configuration.deprecation (Configuration.java:warnOnceIfDeprecated(1009)) - mapred.job.id is deprecated. Instead, use mapreduce.job.id
2015-08-18 14:46:43,795 INFO  [main] Configuration.deprecation (Configuration.java:warnOnceIfDeprecated(1009)) - job.local.dir is deprecated. Instead, use mapreduce.job.local.dir
2015-08-18 14:46:43,799 INFO  [main] yarn.GiraphYarnTask (GiraphYarnTask.java:setStatus(172)) - [STATUS: task-0] setup: Setting up Zookeeper manager.
2015-08-18 14:46:43,927 INFO  [main] zk.ZooKeeperManager (ZooKeeperManager.java:createCandidateStamp(288)) - createCandidateStamp: Made the directory _bsp/_defaultZkManagerDir/giraph_yarn_application_1439901900213_0001
2015-08-18 14:46:43,929 INFO  [main] zk.ZooKeeperManager (ZooKeeperManager.java:createCandidateStamp(296)) - createCandidateStamp: Made the directory _bsp/_defaultZkManagerDir/giraph_yarn_application_1439901900213_0001/_zkServer
2015-08-18 14:46:43,943 INFO  [main] zk.ZooKeeperManager (ZooKeeperManager.java:createCandidateStamp(323)) - createCandidateStamp: Creating my filestamp _bsp/_defaultZkManagerDir/giraph_yarn_application_1439901900213_0001/_task/node329.cm.cluster 0
2015-08-18 14:46:43,994 INFO  [main] zk.ZooKeeperManager (ZooKeeperManager.java:createZooKeeperServerList(417)) - getZooKeeperServerList: Got [node307.cm.cluster, node325.cm.cluster, node327.cm.cluster, node329.cm.cluster, node330.cm.cluster] 5 hosts from 5 candidates when 1 required (polling period is 3000) on attempt 0
2015-08-18 14:46:43,994 INFO  [main] zk.ZooKeeperManager (ZooKeeperManager.java:createZooKeeperServerList(448)) - createZooKeeperServerList: Creating the final ZooKeeper file '_bsp/_defaultZkManagerDir/giraph_yarn_application_1439901900213_0001/zkServerList_node307.cm.cluster 3 '
2015-08-18 14:46:44,033 INFO  [main] zk.ZooKeeperManager (ZooKeeperManager.java:getZooKeeperServerList(495)) - getZooKeeperServerList: For task 0, got file 'zkServerList_node307.cm.cluster 3 ' (polling period is 3000)
2015-08-18 14:46:44,033 INFO  [main] zk.ZooKeeperManager (ZooKeeperManager.java:getZooKeeperServerList(516)) - getZooKeeperServerList: Found [node307.cm.cluster, 3] 2 hosts in filename 'zkServerList_node307.cm.cluster 3 '
2015-08-18 14:46:44,036 INFO  [main] zk.ZooKeeperManager (ZooKeeperManager.java:onlineZooKeeperServers(817)) - onlineZooKeeperSErvers: Empty directory _bsp/_defaultZkManagerDir/giraph_yarn_application_1439901900213_0001/_zkServer, waiting 3000 msecs.
2015-08-18 14:46:47,038 INFO  [main] zk.ZooKeeperManager (ZooKeeperManager.java:onlineZooKeeperServers(817)) - onlineZooKeeperSErvers: Empty directory _bsp/_defaultZkManagerDir/giraph_yarn_application_1439901900213_0001/_zkServer, waiting 3000 msecs.
2015-08-18 14:46:50,044 INFO  [main] zk.ZooKeeperManager (ZooKeeperManager.java:onlineZooKeeperServers(802)) - onlineZooKeeperServers: Got [node307.cm.cluster] 1 hosts from 1 ready servers when 1 required (polling period is 3000) on attempt 2
2015-08-18 14:46:50,100 INFO  [main] yarn.GiraphYarnTask (GiraphYarnTask.java:setStatus(172)) - [STATUS: task-0] setup: Connected to Zookeeper service 
2015-08-18 14:46:50,101 INFO  [main] graph.GraphTaskManager (GraphTaskManager.java:instantiateBspService(655)) - setup: Starting up BspServiceWorker...
2015-08-18 14:46:50,115 INFO  [main] bsp.BspService (BspService.java:<init>(342)) - BspService: Path to create to halt is /_hadoopBsp/giraph_yarn_application_1439901900213_0001/_haltComputation
2015-08-18 14:46:50,115 INFO  [main] bsp.BspService (BspService.java:<init>(345)) - BspService: Connecting to ZooKeeper with job giraph_yarn_application_1439901900213_0001, 0 on node307.cm.cluster:22181
2015-08-18 14:46:50,124 INFO  [main] zookeeper.ZooKeeper (Environment.java:logEnv(100)) - Client environment:zookeeper.version=3.4.5-1392090, built on 09/30/2012 17:52 GMT
2015-08-18 14:46:50,124 INFO  [main] zookeeper.ZooKeeper (Environment.java:logEnv(100)) - Client environment:host.name=node329.cm.cluster
2015-08-18 14:46:50,124 INFO  [main] zookeeper.ZooKeeper (Environment.java:logEnv(100)) - Client environment:java.version=1.7.0
2015-08-18 14:46:50,124 INFO  [main] zookeeper.ZooKeeper (Environment.java:logEnv(100)) - Client environment:java.vendor=Oracle Corporation
2015-08-18 14:46:50,124 INFO  [main] zookeeper.ZooKeeper (Environment.java:logEnv(100)) - Client environment:java.home=/cm/shared/package/sun-jdk/jdk1.7.0/jre
